tweet,nouns,nounsavg,pos,posavg,neg,negavg,google,googleavg,arduino,arduinoavg,adafruit,adafruitavg,total,
join pammoran makeredorg educationweek at 2pm et to chat maker education for k12,5,0.38461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,
national maker faire  franks world   cc natlmakerfaire natlmakerfaire,3,0.375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,
smart led flashlight maker,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,4,
first maker faire in russia rt diyengineering  moscow joins the maker movement this weekend,4,0.2857142857142857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,
small square pots apotspot pdx pnw maker portland urbangarden succulents,5,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,
arcade games homemade by 5th and 6th graders steam maker,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,
pray for nothing just stay ready with the original peace maker  fuckthepolice,1,0.08333333333333333,2,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,12,
elderflower antiaging serum for older complexions maker  diy,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,
i got to be interviewed by kwalseth from makerio the full writeup can be found heregarding maker nerd,3,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,
our iamgirl maker adventures will resume in the fall stay awesome and see u soon,1,0.06666666666666667,1,0.06666666666666667,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,15,
last chance to get in on the citizen scientist challenge hackaday maker,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,
our designer   maker of the day is sort cement  nice little gold dipped planters,0,0.0,2,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,14,
want a summer stem  steam  maker project check out nasa and asmedotorgsthink outside the box challenge,2,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,
students and thirdcoastperc make waves with laser cut instruments adskdesignacademy maker,2,0.18181818181818182,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,
vidasharks thinkabitlab in national maker news digitalpromise,3,0.42857142857142855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,
3d printing multiple colors with single extruder 3dthursday 3dprinting adafruit maker,4,0.36363636363636365,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,11,
thetwittazine writerswebla yolandaessex i my music maker glab check out billposters101s tweet,5,0.4166666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,
my steampunk maker spotlight interview with tobiasmccurry,2,0.2857142857142857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,
diy ultimate paper glider maker,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,
this mornings work table offering autumn nature trees landscape fabric repeat designer maker lampshade,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,14,
raji borthakurs passion proves that anyone can become a maker for change  iamintel,3,0.23076923076923078,2,0.15384615384615385,0,0.0,0,0.0,0,0.0,0,0.0,13,
a journey in the design lab prototype diy cnc designblog designlab makersgonnamake maker,5,0.38461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,
meet john  a wood carved sign maker and his mobile shop  tinyhome  3 hometourofamerica,2,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,
stop working and start making  think design produce amazing maker ceciliamtham from mobbecausen for yulbecausen,3,0.2,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,15,
